submitted on,title (generated by manual input from admin),1 what problem from your healthcare setting do you want to tackle,2 will a change in behavior address this problem,3 whose behaviour should primarily be changed,3. other,4 who will the primary beneficiary of this behaviour change be,4. other,5 current behaviour what are they currently doing,6 desired behaviour what should they be doing that might solve the problem,7 why might they not be doing the desired behavior,7.other,please describe your response,8 how will the behaviour change address the problem,9 at which stage of the patient journey map does this problem arise,9. other,10 does this problem manifest itself in any of the following settings,10. other,,,,,,,,,,,,,,,,text-2,text-3,text-4,text-9,text-12,text-15
,"Automated, interactive text message intervention to remind people wear seat belt to solve low rates of seat belt use and highest motor vehicle crashes-related non fatal rates in young adult.",Relatively low rates of seat belt use and highest motor vehicle crashes-related non fatal rates in young adult.,Yes,Patient,,Patient,,Not wearing seat belt.,"Be reminded to wear seat belt consistenly by automated, interactive text message intervention.","Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"Can be lack of habit, awareness, or perceived need.","With weekly check-in and goal commitment prompts, targeted people are more likely to report seat belt use.",Stage 1,,Community care,,,,,,,,,,,,,,,,,,,,,,
,Adopt thorough report and varied implementation strategies to solve the problem of suicide prevention.,Few implementation strategies available to reduce suicide attempts and increase treatment initiation.,Yes,Physician,,Patient,,Limited documentation of implementation strategies.,Thoroughly report and use varied implementation strategies.,"Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"Space constraints, unfamiliarity with implementation science.",Improves the adoption and effectiveness of suicide prevention interventions.,Stage 1,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Utilize EHR self-scheduling for mammograms to solve low mammogram completion.,Low mammogram completion rates.,Yes,Patient,,"Patient, Nurse Practitioner (paper refers clinician)",,"Patients currently receive screening through resource-intensive and inscable methods, such as telephone calls, educational materials, community partnerships, and patient navigator support.",Utilize EHR self-scheduling for mammograms.,Tech/tools constraints: the desired behaviour change is restricted due to underequipped or inaccessible technology/device/tools,,Can be lack of awarenss of access to technology.,"1) Simplifies the scheduling process
 2) Empowers patients with greater flexibility to access the scheuling system",Stage 1,,Primary Care,,,,,,,,,,,,,,,,,,,,,,
,Utilize remote patient monitoring (RPM) data to solve the poor performance of current models which predict the possibility of patients to be readmitted within 30 day.,Models to predict which patients will be readmitted within 30 days often perform poorly.,Yes,Patient,,"Physician, Nurse, Patient",,Rely heavily on data available up until the time of hospital discharge and use traditional regression techniques.,"Utilize remote patient monitoring (RPM) data, including physical activity and sleep patterns, and machine learning approaches.",Tech/tools constraints: the desired behaviour change is restricted due to underequipped or inaccessible technology/device/tools,,Limited integration of RPM data into clinical workflows.,Enhances prediction models to identify the patients at highest risk of hospital readmission.,Stage 4,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Adopt appropriate care and evidenc-based treatment across races to solve opioid prescribing disparities in emergency and urgent care.,Address opioid prescribing disparities in emergency and urgent care.,Yes,"Physician, Nurse Practitioner",,Patient,,Black and Hispanic patients receive lower rates and dosages of opioid prescriptions for the same conditions and reported pain level as White patients.,Appropriate care and evidenc-based treatment across races.,Ambiguity: unclear guidance to users to adopt desired behaviour,,lack of receipt of a formal opioid prescription for Black patients. Interpersonal and structural biases and racism.,Feedback interventions could lead to equitable prescribing practices.,Stage 3,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,"Leverage behavioural interventions, including peer comparisons, perfromance reports, and opt-out reminders to sovle low utilization on SICs.",Low utilization on enhance serious illness conversations (SICs) between oncology clinicians and patients.,Yes,Physician,,Patient,,"Clinicians may not initiate SICs timely, thus most patients with cancer die without a documented SIC.","Leverage behavioural interventions, including peer comparisons, perfromance reports, and opt-out reminders to achieve a sustained increase in SICs.",Systemic corporation: the desired behaviour involves some changes to upstream/downstream practice in the first place,,inaccurate prognostication and perceptions that SICs are appropriate only close to death.,"Increases SIC rates, which leads to improved patient understanding and potentially reduces aggressive end-of-life care.","Stage 3, Stage 4",,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Utilize EHR nudges for active choice prompts and peer comparison feedback to solve low Statins prescription on patients who meet guideline criteria for a statin.,Low Statins prescription rate on patients who meet guideline criteria for a statin.,Yes,Physician,,Patient,,Clinician recognize that a patient could benefit from a statin and then discuss it with the patient.,Utilize EHR nudges for active choice prompts and peer comparison feedback.,Complexity: nuances or variations of implementing interventions in real life,,Clinicians may overlook patients' statin eligibility and forget to prescribe it. No benchmark.,"EHR-based nudges (active choice prompts and peer comparison) fit within clinician workflow and streamline the prescription process, which makes it easier to prescribe statins when indicated.","Stage 2, Stage 3",,Primary Care,,,,,,,,,,,,,,,,,,,,,,
,Fully utilize Conversation Connect to conduct frequent and timeliness of early serious illness converstaions(SICs) to solve low documented SICs.,Rates of documented early serious illness communications (SICs) remained below desired levels.,Yes,Physician,,Patient,,Conversation Connect is introduced. It's a behavioural-informed intervention to prompt early serious illness communication.,Fully utilize Conversation Connect to conduct frequent and timeliness of early serious illness converstaions(SICs).,"Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,cancer-specific heterogeneity in performance,"Through the use algorithm-based interventions, especially peer comparisons and performance reports, early conversations in the outpatient oncology setting can be promoted.","Stage 3, Stage 4",,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Implement equitable prescribing practices through clinician training and awareness to solve disparities in opioid presicribing in emergency and urgent care.,Disparities in opioid prescribing in emergency and urgent care.,Yes,"Physician, Nurse Practitioner",,Patient,,Exhibiting varied prescribing patterns across patient demographics.,Implement equitable prescribing practices through clinician training and awareness.,"Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"Implicit biases, lack of awareness, and inconsistent guidelines.",Reducing disparities can lead to fairer patient treatment and potentially better outcomes.,Stage 3,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Utilize automated text messaging for immediate feedback on pain and opioid consumption to solve increasingly left unsused prescription on opioids after surgery.,Increasing prescriptions on opioids are left unused after surgery.,Yes,"Physician, Patient",,Patient,,Using phone-based surveys to provide data on postoperative pain monitoring.,Utilize automated text messaging for immediate feedback on pain and opioid consumption.,Systemic corporation: the desired behaviour involves some changes to upstream/downstream practice in the first place,,Lack of integration into clinical practice.,Provides data for personalized care and guide shared dicision making to decrease opioid excess.,"Stage 3, Stage 4",,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Deliver S.A.F.E Firearm in equity by responding nonjudgmental to EHR-nudge choices to solve variation in S.A.F.E. Firearm delivery by patients' race and ethnicity.,Variation in S.A.F.E. Firearm delivery by patients' race and ethnicity.,Yes,"Physician, Public Health",,"Patient, Public Health",,Clinicians have higher odds of delivering S.A.F.E. Firearm to parents of non-Hispanic/Latino (NH) White youth.,Clinicians deliver S.A.F.E Firearm in equity by responding nonjudgmental to EHR-nudge choices.,Complexity: nuances or variations of implementing interventions in real life,,"Potential individual-level and structural racism by medical complexity, race, and ethnicity.",EHR-nudge can promote consistent initiation of program delivery for all families.,Stage 1,,Primary Care,,,,,,,,,,,,,,,,,,,,,,
,Improve communication and education of overdose on naloxone during ED visits to solve under-treatment on patients with high risk of overdose. ,Lack of utilization of Emergency departments (EDs) as a venue to identify and engage high-risk individuals in overdose prevention.,Yes,"Physician, Nurse practitioner, Pharmacist",,Patient,,Deliver few naloxone prescriptions on patients at risk of overdose.,Improve communication and education of overdose on naloxone during ED visits to achieve wider distribution of naloxone.,"Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"Can be lack of awareness, training, and systemic support.",Better communication can enhance naloxone uptake and overdose prevention.,Stage 1,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Incorporate pragmatic measures to solve insufficient impact on population health and health equity within implementation science.,Insufficient impact on population health and health equity within implementation science.,Yes,Researchers,,"Patient, Public Health",,"Focusing on traditional metrics (e.g., publications, grants) rather than direct impact.","Incorporate pragmatic measures, emphasize societal and population health impact and economic values, and prioritize equity.",Complexity: nuances or variations of implementing interventions in real life,,"Structural complexities, long timelines, and resource intensiveness.",Directly aligns efforts with equitable population health improvements and demonstrates tangible benefits.,"Stage 1, Stage 3",,"Primary Care, Home and Long-Term Care, Community Care.",,,,,,,,,,,,,,,,,,,,,,
,Adopt MAPS+ to solve low adoption of Managed Problem Solving (MAPS) for viral suppression in people with HIV.,Low adoption of Managed Problem Solving (MAPS) for viral suppression in people with HIV.,Yes,"Physician, Public Health, Administrative Staff",,"Patient, Public Health",,MAPS has been endorsed mainly by health professionals.,"Adopt MAPS+, an enchanced adpation of MAPS, to utilize community health workers and focus on retention in care.",Complexity: nuances or variations of implementing interventions in real life,,Challenges include integration of MAPS+ into existing workflows and addressing systemic inequities.,Including community health workers can address the problem of limited bandwidth of health professionals and extend the intervention for viral suppression to community.,"Stage 3, Stage 4",,"Primary Care, Community Care",,,,,,,,,,,,,,,,,,,,,,
,Conduct hybrid trials evaluating effectiveness and implementation simultaneously to solve research-to-practice gaps in hospital medicine.,Bridge research-to-practice gaps in hospital medicine.,Yes,"Physician, Educator",,"Patient, Public Health",,Focusing on clinical effectiveness without concurrent implementation assessment.,Conduct hybrid trials evaluating effectiveness and implementation simultaneously.,Complexity: nuances or variations of implementing interventions in real life,,Complexity and cost of conducting hybrid trials.,Rapidly translates effective interventions into practice that enhances care.,"Stage 1, Stage 2, Stage 3, Stage 4",,"Primary Care, Hospital Care",,,,,,,,,,,,,,,,,,,,,,
,Use behavioral rehearsal and chart-stimulated recall to solve irregular implementation of measuring fidelity in cognitive behavioural therapy.,Irregular implementation of measuring fidelity to cognitive behavioural therapy at many community organizations.,Yes,"Physician, Therapist, Technician",,Patient,,Current gold standard is costly and resouce-intensive.,Use behavioral rehearsal and chart-stimulated recall for fidelity checks regularly to cognitive behavioural therapy.,Complexity: nuances or variations of implementing interventions in real life,,Lack of financial incentives and little integration into standard workflow; concerns on prcision of methods; potential additional burden introduced to clinicians may lead to burnout.,Provides alternatives for measuring fidelity and enables community organization to implement regularly.,Stage 3,,Community Care,,,,,,,,,,,,,,,,,,,,,,
,Integrate community feedback for trial design and social incentives to solve limited effectiveness in interventions and long term behavioural change for increeasing physical activity.,Limited effectiveness in interventions and long-term behavioural change for increasing physical activity in individuals.,Yes,"Physician, Public Health",,"Patient, Public Health",,Using wearable devices for monitoring physical activity in programs and interventions to increase physcial activity on individuals.,Integrate community feedback for trial design and social incentives to promote increased physical activity.,Complexity: nuances or variations of implementing interventions in real life,,Challenges adapting to diverse community contexts.,"Inviting community feedback allows the team to make changes to the design to make interventions match more in the community-based setting, leading the increased likelihood of effectiveness of interventions.",Stage 1,,Community care,,,,,,,,,,,,,,,,,,,,,,
,Consistently carry naloxone with strong motivaton provided to solve/prevent opioid overdoses.,Low uptake and use of naloxone in the community to prevent opioid overdoses.,Yes,Patient,,Patient,,Accessing naloxone through various means with variable carrying habits.,"Consistently carry naloxone with strong motivaton provided, such as ease of naloxone acquisition and comfort with use, perceived future risk of encountering and overdose.","Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"Difficulty accessing medication, lack of motivation, introducing new behaviors, or stigma.",Interventions which encourage sronger motivations can increase naloxone access and carrying.,Stage 1,,"Hospital Care, Community Care",,,,,,,,,,,,,,,,,,,,,,
,Implement specialist cardiovascular disease screening and management to solve the ineffectiveness of current model.,The current model in which primary care clinicians screen and manage cardiovascular disease risk factors may be ineffective for many patients with psoriatic disease.,Yes,Physician,,Patient,,Clinicians undiagnose or inadequately manage dyslipidemia and other major cardiovascular risk factors in patients.,"Implement specialist cardiovascular disease screening and management, in particular the use of statins for preventative care in patients with psoriatic disease.",Ambiguity: unclear guidance to users to adopt desired behaviour,,"Lack of proper training, challenge of integration into current routine, out-of-pocket cost.",It can improve care coordination between specialists and PCPs for CVD prevention.,"Stage 1, Stage 3",,Others: Specialty Care,,,,,,,,,,,,,,,,,,,,,,
,Utilize mailed at-home disposal kits to solve the problem of unsafe disposal of unused prescribed opioids.,Large amount of unsafe disposal of unused prescribed opioids among patients.,Yes,Patients,,"Patient, public health",,"Unattentive disposal of unused prescribed opioids, such as in cabinets or on countertops",Utilize mailed at-home disposal kits for safe disposal.,"Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,Lack of awareness or access to disposal methods.,Increases safe disposal rates and reduces misuse risk.,Stage 3,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Broaden Enhance Managed Problem Solving (MAPS) implementation via community health workers (CHWs) to solve HIV infections in community clinics.,Low adoption rate of Enhance Managed Problem Solving (MAPS) for reducing HIV infections in community clinics.,Yes,"Physician, social worker",,"Patient, Public Health",,"MAPS has been endorsed mainly by health professionals, not by nonmedical specialists.",Broaden MAPS implementation via community health workers (CHWs).,Complexity: nuances or variations of implementing interventions in real life,,"Challenge in integrating CHWs within the team, such as CHW onboarding and training processes; leadership buy-in; challenge in recruiting qualified CHWs; social-economics constraints, etc.",Deploy community health workers to deliver MAPS could facilitate broader implementation of MAPS.,"Stage 3, Stage 4",,Community Care,,,,,,,,,,,,,,,,,,,,,,
,Adopt EHR default settings aligned with patient-reported needs to solve misuse of opioids for pain management.,Unsafe use of opioids for pain management.,Yes,Physician,,Patient,,Following variable opioid prescribing practices.,Adopt EHR default settings aligned with patient-reported needs.,"Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,The order set is not incorporated into the routine of clinicians.,Reduces excessive opioid prescriptions and therefore minimizes misuse risk.,Stage 3,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Utilize validated fidelity measurement methods like behavioral rehearsal to solve mesaurement problems about clinicians adhearence to cognitive-behavioral therapy (CBT).,Identify accurate methods for measuring clinicians' adherence to cognitive-behavioral therapy (CBT).,Yes,"Physician, Therapist",,Patient,,Using observational methods to measure clinician adherence which is expensive and requirs expertise and infrastrucsture that most comunnity settings don't have.,Utilize validated fidelity measurement methods like behavioral rehearsal.,Research lagging behind: researchers and/or healthcare practitioners need further understanding,,No evidence-suport data. The conventional behavioral rehearsal does not assess adherence with specific clients.,"When conduceted in semistructured format, behavioural rehearsal is potentially less resource intensive but also yield accurate result compared to boservational methods.","Stage 3, Stage 4",,Community Care,,,,,,,,,,,,,,,,,,,,,,
,Focus on creating an organizational climate to solve the poor delivery of eveidence-based practices (EBPs) in healthcare.,Identify levers to improve the delivery of evidence-based practices (EBPs) in healthcare.,Yes,"Physician, Administrative staff",,Patient,,There might be overreliance on self-reported measures of implementation outcomes and cross-sectional designs.,"Focus on creating an organizational climate that supports, expects, and rewards the use of evidence-based practices.","Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,Existing organizational climates may not prioritize or support evidence-based practices adequately.,A supportive EBP implementation climate can enhance clinician adherence to evidence-based practices that improves patient care.,"Stage 1, Stage 2, Stage 3, Stage 4",,Community Care,,,,,,,,,,,,,,,,,,,,,,
,Engage in SaVE program to solve increased risk for crash due to phone use while driving.,"Increased risk for crash due to phone use while driving, particularly among young drivers",Yes,Patient,,Patient,,Participants reported engaging in texting while driving (TWD) despite laws and driver education programs in place.,Engage in SaVE program to report weekly check-ins of TWD with tailored feedback and goal commitment prompts for the coming week.,"Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"Can be habit, lack of immediate consequences, or underestimation of risks.","The intervention demonstrates a limited immediate, but delayed durable effectiveness. It means the automated, interactive text message intervention can reduce distracted driving due to TWD in a long term.",Stage 1,,"Community Care, Hospital Care",,,,,,,,,,,,,,,,,,,,,,
,Adapt S.A.F.E. program to univeusal counseling for all parents to solve unintentional injury and suicide among children due to unathorized youth access to firearms.,Unauthorized youth access to firearms resulting in unintentional injury and suicide among children.,Yes,"Physician, Public Health",,"Patient, Public Health",,Adopt Suicide and Accident prevention through Family Education S.A.F.E.) in large clinical trial.,Adapt S.A.F.E. program to univeusal counseling for all parents.,Ambiguity: unclear guidance to users to adopt desired behaviour,,Diverse views on firearm ownership and safety practices.,Enhances firearm safety awareness and practices among parents.,Stage 1,,Primary Care,,,,,,,,,,,,,,,,,,,,,,
,Use a universal and nonjudgmental approach to solve unauthorized children's access to firearms.,unauthorized children's access to firearms which poses risk of firearm injury,Yes,"Physician, Public Health",,"Patient, Public Health",,Limited engagement on firearm safety discussions with caregivers who generaly accept firearm saftey discussions in pediatric ettings.,Use a universal and nonjudgmental approach to discuss firearm safety with all families.,Ambiguity: unclear guidance to users to adopt desired behaviour,,"Potential biases, discomfort with the topic, and lack of training.",Facilitates open dialogue and therefore increases caregiver receptivity to safety messaging.,Stage 1,,Primary Care,,,,,,,,,,,,,,,,,,,,,,
,Use established caregiver coaching techniques more consistently to solve low fidelity in evidence-based caregiver coaching strategies.,Healthcare providers demonstrate low fidelity to evidence-based caregiver coaching strategies during their usual sessions for autism spectrum disorder of their children.,Yes,"Educator, Therapist (including special instructors, occupational therapists, speech and language pathologists, and physical therapists).",,Patient (patient's parents),,"Low use of coaching techniques, with significant variability in use of coaching across providers.","Use established caregiver coaching techniques more consistently, especially collaboration and in-vivo feedback.",Ambiguity: unclear guidance to users to adopt desired behaviour,,"Possible lack of targeted training, implementation strategies, and familiarity with coaching components.","Improved use of coaching techniques can enhance parent responsiveness, intervention use, and child’s participation in daily activities.",Stage 1,,Community Care,,,,,,,,,,,,,,,,,,,,,,
,Utilize a machine learning (ML) prognostic algorithm to solve suboptimum in advance care plannning (ACP) coversation among cancer patients.,Improve advance care planning (ACP) conversation rates among cancer patients,Yes,Physician,,Patient,,Oncologists vary in initiating ACP discussions due to differences in practice patterns and demographics,Utilize a machine learning (ML) prognostic algorithm to identify high-risk patients for targeted ACP conversations,Complexity: nuances or variations of implementing interventions in real life,,"Variations in clinician workload, practice patterns, and perceptions about the utility of ACP","Targeted ML intervention prompts timely ACP discussions, potentially improving patient care concordance with their goals",Stage 2,,Hospital Care (Oncology),,,,,,,,,,,,,,,,,,,,,,
,"Increase comprehensive research on firearm safety, establishing the norms and systems around responsible and secure firearm storage, and make mental health support accessible to solve the mental health impact of school shootings.",Address the mental health impact of school shootings,Yes,"Educator, Media, Public Health",,Patient,,Insufficient research and attention to mental health support,"Increase comprehensive research on firearm safety, establishing the norms and systems around responsible and secure firearm storage, and make mental health support accessible.",Research lagging behind: researchers and/or healthcare practitioners need further understanding,,"Limited funding, awareness, and systemic support for mental health research and interventions",Mitigate the psychological impact on survivors and communities,Stage 1,,Community Care,,,,,,,,,,,,,,,,,,,,,,
,Use remote electronic Patient-reported outcomes (PROs) and wearable step monitoring to solve the deficiency symptom management.,"Identify patients with high symptom burden, poor quality of life or poor functional status to enhance symptom management in advanced cancer.",Yes,"Physician, Patient",,Patient,,Current practices miss or underestimate patient-reported symptom severity,Use remote electronic Patient-reported outcomes (PROs) and wearable step monitoring to accurately track symtoms and activity level for patients undergoing cancer treatment.,"Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,PROs are mostly seen at in-clinic visits and rarely integrate with technology that enables remote PRO collection.,Tailored interventions based on real-time data improve symptom management,Stage 3,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,"Integrate screening, referral, and treatment for depression to solve limitation of knowledge in implemention of adlescent depression services.",Limited knowledge in effective implementation of adolescent depression services in primary care clinics in Mozambique,Yes,"Physician, Nurse, Nurse Practitioner, Others, Public Health",,Patient,,Existing services are not effectively integrated; limited adolescent mental health care services are accessible to adolescents.,"Integrate screening, referral, and treatment for depression guided by implementation mapping.",Research lagging behind: researchers and/or healthcare practitioners need further understanding,,"Lack of studies, resources; cultural and systemic barriers","Enhances access to care, addresses treatment gap, and improves adolescent mental health outcomes.",Stage 1,,"Primary Care, Community Care",,,,,,,,,,,,,,,,,,,,,,
,Allow patients to monitor oxygen saturation at home to solve the ambiguity of effectiveness in current remote-monitoring programs.,Unknown effectiveness of home pulse oximetry in COVID-19 remote-monitoring programs.,No,"Physician, Nurse, Patient",,Patient,,"Patients were monitored via text messages, with some also using home pulse oximetry.",Patients to monitor oxygen saturation at home.,Tech/tools constraints: the desired behaviour change is restricted due to underequipped or inaccessible technology/device/tools,,"Technological challenges, lack of understanding of the device's importance, or simply forgetting to take daily measurements.","Remote-monitoring programs proves as effective as current practice, implying that the patient caring regarding COVID-19 can be more flexiable in the future.",Stage 2,,"Primary Care, Community Care",,,,,,,,,,,,,,,,,,,,,,
,Incorporate gamification and behavioral economics principles in a digital health intervention to solve the increased cardiovascular risk for female with hypertensive disorders of pregnancy (HDP).,Increased cardiovascular risk for female with hypertensive disorders of pregnancy (HDP).,Yes,"Physician, Nurse, Nurse Practitioner, Public Health",,Patient,,"Using interventions strategy, such as internet-based modules, telephone-based coaching, and social media support group, to promote physicial activity for reducing cardiovascular risk.",Incorporate gamification and behavioral economics principles in a digital health intervention to motivate daily step goal achievement,Tech/tools constraints: the desired behaviour change is restricted due to underequipped or inaccessible technology/device/tools,,Integrate new behaviors into daily routines and potential technological barriers,"Gamification and social incentives encourage physical activity, addressing cardiovascular risk","Stage 1, Stage 2",,"Primary Care, Community Care",,,,,,,,,,,,,,,,,,,,,,
,Deliver targeted training on opioid withdrawal management and buprenorphine initiation to solve ambiguity of practice in emergency department initiation of buprenorphine for opioid use disorder (OUD).,Unclear practice in emergency department initiation of buprenorphine for opioid use disorder (OUD).,Yes,"Physician, Nurse",,Patient,,Emergency medicine clinicians lack training on managing acute opioid withdrawal and initiating buprenorphine treatment,Clinicians should receive targeted training on opioid withdrawal management and buprenorphine initiation,Ambiguity: unclear guidance to users to adopt desired behaviour,,"Lack of training, negative attitudes towards buprenorphine, and misconceptions about regulations","Targeted training improves clinicians' knowledge and attitudes towards buprenorphine, facilitating its use and potentially improving patient outcomes",Stage 2,,"Hospital Care, particularly emergency departments",,,,,,,,,,,,,,,,,,,,,,
,Add an electronic health record (HER) default order to solve the low rate of screening for hepatitis C virus (HCV) among hospitalized patients.,Low rate of Hepatitis C virus (HCV) screening among hospitalized patients,Yes,"Physician, Nurse",,Patient,,HCV screening rates were low due to reliance on clinician-initiated orders,Add an electronic health record (HER) default order to increase screening for hepatitis C virus (HCV) among hospitalized patients,"Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,Potential extra clinician efforts and burden.,More HCR screening are scheduled by implementing default choice to change HCV screening from opt-in to opt-out and emedding HCR into clinic routine.,Stage 2,,Hospital Care,,,,,,,,,,,,,,,,,,,,,,
,Adopt a sustained behaviour change from hand-held to hand-free phone use by using phone mount compounded with behavioural intenventions to solve phone use while driving.,Deaths and injuries due to phone use while driving,Yes,"Patient, Others (Drivers)",,"Public Health, Patient",,"Drivers are taking UBI program, a smartphone app or plug-in telematics device monitors how people drive to assess their risk and to price their insurance
 policy accordingly despite knowing its effect.","Adopting a sustained behaviour change from hand-held to hand-free phone use by using phone mount compounded with behavioural intenventions, such as habit-building reminders, gamification and social competition, and modest financial incentives.","Low motivation or awareness: don't know, understand or appreciate the values of desired behaviour",,"The social and instrumental rewards people get from using
 their phone are more immediate and certain, however, the pulishment is delayed and uncertain.","Multiple interventions can encourage a significant change in
 drivers’ phone use that lasted beyond the intervention
 period and impact on actual crash likelihood.",Stage 1,,Community Care,,,,,,,,,,,,,,,,,,,,,,
